Signal Name,Width (bits),Direction,Source,Destination,Type,Description,Active Level/Range
clk,1,Input,Zynq PS Clock,All PL modules,Clock,System clock (112 MHz target),Rising edge
resetn,1,Input,Zynq PS Reset,All PL modules,Reset,Active-low global reset,Low = Reset
,,,,,,,,
=== AXI-Lite Configuration Interface (CPU → Accelerator) ===,,,,,,,,
s_axi_aclk,1,Input,Zynq PS,Config Registers,Clock,AXI-Lite clock (same as system),Rising edge
s_axi_aresetn,1,Input,Zynq PS,Config Registers,Reset,AXI-Lite reset,Low = Reset
s_axi_awaddr,32,Input,Zynq PS,Config Registers,Address,Write address,0x4000_0000 base
s_axi_awvalid,1,Input,Zynq PS,Config Registers,Control,Write address valid,High = Valid
s_axi_awready,1,Output,Config Registers,Zynq PS,Control,Write address ready,High = Ready
s_axi_wdata,32,Input,Zynq PS,Config Registers,Data,Write data,32-bit config value
s_axi_wvalid,1,Input,Zynq PS,Config Registers,Control,Write data valid,High = Valid
s_axi_wready,1,Output,Config Registers,Zynq PS,Control,Write data ready,High = Ready
s_axi_bresp,2,Output,Config Registers,Zynq PS,Status,Write response,00 = OK
s_axi_bvalid,1,Output,Config Registers,Zynq PS,Control,Write response valid,High = Valid
s_axi_bready,1,Input,Zynq PS,Config Registers,Control,Write response ready,High = Ready
s_axi_araddr,32,Input,Zynq PS,Config Registers,Address,Read address,0x4000_0000 base
s_axi_arvalid,1,Input,Zynq PS,Config Registers,Control,Read address valid,High = Valid
s_axi_arready,1,Output,Config Registers,Zynq PS,Control,Read address ready,High = Ready
s_axi_rdata,32,Output,Config Registers,Zynq PS,Data,Read data,32-bit register value
s_axi_rresp,2,Output,Config Registers,Zynq PS,Status,Read response,00 = OK
s_axi_rvalid,1,Output,Config Registers,Zynq PS,Control,Read data valid,High = Valid
s_axi_rready,1,Input,Zynq PS,Config Registers,Control,Read data ready,High = Ready
,,,,,,,,
=== Configuration Register Values (Offset from base 0x4000_0000) ===,,,,,,,,
CONTROL [0x00],32,R/W,CPU,Accelerator,Config,"Bit 0: conv_start, Bit 1: reset, Bit 2: swap_in_buf, Bit 3: swap_out_buf, Bit 31: conv_done (RO)",Various
INPUT_HEIGHT [0x04],32,R/W,CPU,Index Generator,Config,Input feature map height (e.g. 64),1 to 256
INPUT_WIDTH [0x08],32,R/W,CPU,Index Generator,Config,Input feature map width (e.g. 64),1 to 256
INPUT_CHANNELS [0x0C],32,R/W,CPU,Index Generator,Config,Number of input channels (e.g. 3 for RGB),1 to 512
FILTER_HEIGHT [0x10],32,R/W,CPU,Index Generator,Config,Convolution filter height (e.g. 3),1 to 11
FILTER_WIDTH [0x14],32,R/W,CPU,Index Generator,Config,Convolution filter width (e.g. 3),1 to 11
NUM_FILTERS [0x18],32,R/W,CPU,Index Generator,Config,Number of output channels/filters (e.g. 64),Must be multiple of 4
STRIDE [0x1C],32,R/W,CPU,Index Generator,Config,Convolution stride (e.g. 1),1 or 2
PADDING [0x20],32,R/W,CPU,Index Generator,Config,Zero-padding pixels (e.g. 1),0 to 3
SCALE_FACTOR [0x24],32,R/W,CPU,Dequantization,Config,Fixed-point scale factor in Q8.24 format,Computed from quantization params
ZERO_POINT_IN [0x28],32,R/W,CPU,Dequantization,Config,Input zero-point (sign-extended to 32-bit),-128 to 127
ZERO_POINT_OUT [0x2C],32,R/W,CPU,Dequantization,Config,Output zero-point for next layer,-128 to 127
ENABLE_POOLING [0x30],32,R/W,CPU,Output Storage,Config,1 = Enable 2x2 max pooling; 0 = No pooling,0 or 1
ENABLE_RELU [0x34],32,R/W,CPU,Dequantization,Config,1 = Enable ReLU activation; 0 = No ReLU,0 or 1
BIAS_BASE_ADDR [0x38],32,R/W,CPU,MAC Stream Provider,Config,BRAM address of bias values for this layer,BRAM address
OUTPUT_HEIGHT [0x3C],32,R/W,CPU,Output Storage,Config,Output feature map height (computed or explicit),1 to 256
OUTPUT_WIDTH [0x40],32,R/W,CPU,Output Storage,Config,Output feature map width (computed or explicit),1 to 256
,,,,,,,,
=== Index Generator → MAC Stream Provider (AXI-Stream) ===,,,,,,,,
idx_axis_tdata,32,Output,Index Generator,MAC Stream Provider,Data,"{input_addr[15:0], weight_addr[15:0]}",Address pairs
idx_axis_tvalid,1,Output,Index Generator,MAC Stream Provider,Control,Address pair valid,High = Valid
idx_axis_tready,1,Input,MAC Stream Provider,Index Generator,Control,Ready for next address pair,High = Ready
idx_axis_tlast,1,Output,Index Generator,MAC Stream Provider,Control,Last address in MAC accumulation (every 27 for Conv1),High = Last
,,,,,,,,
=== MAC Stream Provider → 4× MAC Units (AXI-Stream) ===,,,,,,,,
mac_axis_tdata[0],16,Output,MAC Stream Provider,MAC Unit 0,Data,"{weight[7:0], activation[7:0]} for channel 0 mod 4",int8 pairs
mac_axis_tdata[1],16,Output,MAC Stream Provider,MAC Unit 1,Data,"{weight[7:0], activation[7:0]} for channel 1 mod 4",int8 pairs
mac_axis_tdata[2],16,Output,MAC Stream Provider,MAC Unit 2,Data,"{weight[7:0], activation[7:0]} for channel 2 mod 4",int8 pairs
mac_axis_tdata[3],16,Output,MAC Stream Provider,MAC Unit 3,Data,"{weight[7:0], activation[7:0]} for channel 3 mod 4",int8 pairs
mac_axis_tvalid,1,Output,MAC Stream Provider,All 4 MACs,Control,Data valid (broadcast to all MACs),High = Valid
mac_axis_tready,1,Input,All 4 MACs (AND),MAC Stream Provider,Control,All MACs ready (ANDed together),High = Ready
mac_axis_tlast,1,Output,MAC Stream Provider,All 4 MACs,Control,Last MAC in accumulation (reset accumulator after this),High = Last
mac_axis_tuser[0],32,Output,Config Registers,MAC Unit 0,Data,Bias value for channel 0 mod 4,int32 bias
mac_axis_tuser[1],32,Output,Config Registers,MAC Unit 1,Data,Bias value for channel 1 mod 4,int32 bias
mac_axis_tuser[2],32,Output,Config Registers,MAC Unit 2,Data,Bias value for channel 2 mod 4,int32 bias
mac_axis_tuser[3],32,Output,Config Registers,MAC Unit 3,Data,Bias value for channel 3 mod 4,int32 bias
,,,,,,,,
=== 4× MAC Units → Output Combiner (AXI-Stream) ===,,,,,,,,
mac_out_tdata[0],32,Output,MAC Unit 0,Output Combiner,Data,32-bit accumulator output from MAC 0,int32 sum
mac_out_tdata[1],32,Output,MAC Unit 1,Output Combiner,Data,32-bit accumulator output from MAC 1,int32 sum
mac_out_tdata[2],32,Output,MAC Unit 2,Output Combiner,Data,32-bit accumulator output from MAC 2,int32 sum
mac_out_tdata[3],32,Output,MAC Unit 3,Output Combiner,Data,32-bit accumulator output from MAC 3,int32 sum
mac_out_tvalid[0],1,Output,MAC Unit 0,Output Combiner,Control,MAC 0 output valid,High = Valid
mac_out_tvalid[1],1,Output,MAC Unit 1,Output Combiner,Control,MAC 1 output valid,High = Valid
mac_out_tvalid[2],1,Output,MAC Unit 2,Output Combiner,Control,MAC 2 output valid,High = Valid
mac_out_tvalid[3],1,Output,MAC Unit 3,Output Combiner,Control,MAC 3 output valid,High = Valid
mac_out_tready[0],1,Input,Output Combiner,MAC Unit 0,Control,Ready for MAC 0 output,High = Ready
